::ffff:127.0.0.1 - - [2022/5/15 08:51:33]] "GET / HTTP/1.1" 302 66
::ffff:127.0.0.1 - - [2022/5/15 08:51:34]] "GET /login.html HTTP/1.1" 200 6312
::ffff:127.0.0.1 - - [2022/5/15 08:51:34]] "GET /stylesheets/bootstrap.min.css HTTP/1.1" 200 163873
::ffff:127.0.0.1 - - [2022/5/15 08:51:34]] "GET /js/common.js HTTP/1.1" 200 245
::ffff:127.0.0.1 - - [2022/5/15 08:51:34]] "GET /js/jsencrypt.min.js HTTP/1.1" 200 54919
::ffff:127.0.0.1 - - [2022/5/15 08:51:34]] "GET /js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
::ffff:127.0.0.1 - - [2022/5/15 08:51:56]] "POST /register HTTP/1.1" 302 33
::ffff:127.0.0.1 - - [2022/5/15 08:51:56]] "GET /login.html HTTP/1.1" 304 -
::ffff:127.0.0.1 - - [2022/5/15 08:51:58]] "GET /login.html HTTP/1.1" 304 -
::ffff:127.0.0.1 - - [2022/5/15 08:51:58]] "GET /stylesheets/bootstrap.min.css HTTP/1.1" 304 -
::ffff:127.0.0.1 - - [2022/5/15 08:51:58]] "GET /js/jquery-3.6.0.min.js HTTP/1.1" 304 -
::ffff:127.0.0.1 - - [2022/5/15 08:51:58]] "GET /js/common.js HTTP/1.1" 304 -
::ffff:127.0.0.1 - - [2022/5/15 08:51:58]] "GET /js/jsencrypt.min.js HTTP/1.1" 304 -
::ffff:127.0.0.1 - - [2022/5/15 08:51:59]] "GET /icon/favicon.ico HTTP/1.1" 200 549
::ffff:127.0.0.1 - - [2022/5/15 08:51:59]] "GET /icon/favicon.ico HTTP/1.1" 304 -
::ffff:127.0.0.1 - - [2022/5/15 08:52:28]] "GET /stylesheets/bootstrap.min.css HTTP/1.1" 304 -
::ffff:127.0.0.1 - - [2022/5/15 08:52:28]] "GET /stylesheets/bootstrap.min.css.map HTTP/1.1" 200 451427
::ffff:127.0.0.1 - - [2022/5/15 08:52:40]] "POST /register HTTP/1.1" 302 33
::ffff:127.0.0.1 - - [2022/5/15 08:52:40]] "GET /login.html HTTP/1.1" 304 -
::ffff:127.0.0.1 - - [2022/5/15 08:52:41]] "GET /login.html HTTP/1.1" 304 -
::ffff:127.0.0.1 - - [2022/5/15 08:52:41]] "GET /stylesheets/bootstrap.min.css HTTP/1.1" 304 -
::ffff:127.0.0.1 - - [2022/5/15 08:52:41]] "GET /js/jquery-3.6.0.min.js HTTP/1.1" 304 -
::ffff:127.0.0.1 - - [2022/5/15 08:52:41]] "GET /js/common.js HTTP/1.1" 304 -
::ffff:127.0.0.1 - - [2022/5/15 08:52:41]] "GET /js/jsencrypt.min.js HTTP/1.1" 304 -
::ffff:127.0.0.1 - - [2022/5/15 08:52:41]] "GET /stylesheets/bootstrap.min.css.map HTTP/1.1" 200 451427
::ffff:127.0.0.1 - - [2022/5/15 08:52:42]] "GET /icon/favicon.ico HTTP/1.1" 304 -
::ffff:127.0.0.1 - - [2022/5/15 08:52:42]] "GET /icon/favicon.ico HTTP/1.1" 304 -
::ffff:127.0.0.1 - - [2022/5/15 08:55:10]] "GET /login.html HTTP/1.1" 304 -
